Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,uid
37,Zack Steffen\42130443,us USA,GK,Manchester City,26-315,1995,1.0,0,0,0,0,0,0.3,0.16,0.3,0.31,4,9,44.4,31,6,22.6,26.0,7,28.6,25.3,7,0,0.0,2,2.0,17.5,Matches,42130443
38,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24-344,1997,4.0,12,2,0,0,0,8.7,0.35,-3.3,-0.83,22,71,31.0,80,11,53.8,43.3,43,65.1,52.0,33,2,6.1,0,0.0,11.6,Matches,19e50035
1,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-047,2000,4.0,5,0,0,0,0,4.6,0.25,-0.4,-0.1,10,31,32.3,56,10,37.5,36.8,26,38.5,38.3,35,2,5.7,5,1.25,17.3,Matches,a2c1a8d3
2,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,4,0,0,0,0,2.9,0.41,-1.1,-0.56,5,11,45.5,39,7,17.9,28.3,14,28.6,32.5,24,1,4.2,2,1.0,17.1,Matches,9f0ea33f
3,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11.0,16,5,0,5,0,20.4,0.3,4.4,0.4,93,206,45.1,301,50,49.2,39.3,84,69.0,48.9,118,10,8.5,8,0.73,14.3,Matches,e4346678
4,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-312,1991,18.0,10,1,0,3,0,12.1,0.22,2.1,0.12,98,244,40.2,488,63,34.4,35.4,130,58.5,47.0,139,11,7.9,13,0.72,14.2,Matches,f6798fc3
5,Claudio Bravo\10072610,cl CHI,GK,Betis,38-304,1983,9.0,12,0,0,1,2,12.8,0.38,2.8,0.31,67,164,40.9,237,26,55.7,45.0,49,65.3,51.9,91,2,2.2,3,0.33,12.3,Matches,10072610
6,Cárdenas\e1846dde,es ESP,GK,Levante,24-320,1997,9.0,17,2,0,2,0,12.6,0.32,-4.4,-0.49,50,132,37.9,217,38,46.1,39.1,65,49.2,40.9,74,3,4.1,7,0.78,14.2,Matches,e1846dde
7,Kiko Casilla\58bc7d18,es ESP,GK,Elche,35-132,1986,12.0,15,0,0,1,0,13.7,0.25,-1.3,-0.11,79,218,36.2,288,62,52.1,41.7,119,57.1,44.2,121,7,5.8,10,0.83,15.5,Matches,58bc7d18
8,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,32-295,1989,14.2,26,4,0,4,2,26.6,0.37,2.6,0.18,104,239,43.5,303,57,56.1,46.1,90,76.7,58.9,110,7,6.4,6,0.42,15.1,Matches,04ac8285
9,Diego Conde\4eae5bc4,es ESP,GK,Getafe,23-106,1998,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,6,0.0,4,0,100.0,65.3,2,100.0,68.5,2,0,0.0,0,0.0,,Matches,4eae5bc4
10,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,29-276,1992,23.0,20,1,0,1,0,21.1,0.25,1.1,0.05,79,217,36.4,611,125,25.5,31.8,128,47.7,41.2,202,19,9.4,15,0.65,14.8,Matches,1840e36d
11,Javier Díaz\17a1299d,es ESP,GK,Sevilla,24-272,1997,1.0,1,0,0,0,0,0.4,0.18,-0.6,-0.65,5,10,50.0,30,2,26.7,31.8,3,66.7,50.3,12,1,8.3,1,1.0,25.0,Matches,17a1299d
12,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,28-048,1993,18.8,20,6,0,3,1,24.4,0.27,5.4,0.29,127,361,35.2,429,92,59.2,47.3,139,77.0,57.6,142,14,9.9,5,0.27,11.5,Matches,fc70e345
13,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,34-279,1987,23.0,25,1,0,1,0,29.6,0.31,4.6,0.2,213,506,42.1,694,76,55.0,44.7,168,73.8,55.9,173,21,12.1,22,0.96,15.6,Matches,b6160ad0
14,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,30-018,1992,4.0,5,0,0,0,0,4.9,0.33,-0.1,-0.04,12,36,33.3,116,18,24.1,29.9,19,42.1,40.6,29,2,6.9,8,2.0,18.9,Matches,ac295d9e
15,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,31-098,1990,1.8,3,0,0,1,0,3.8,0.47,0.8,0.42,22,44,50.0,38,3,73.7,48.7,18,88.9,57.1,24,1,4.2,0,0.0,9.0,Matches,c9cb972b
16,Aarón Escandell\67669ce7,es ESP,GK,Granada,26-137,1995,3.2,6,2,0,0,0,4.2,0.19,-1.8,-0.58,39,89,43.8,88,13,68.2,48.1,37,78.4,54.3,26,2,7.7,7,2.22,14.5,Matches,67669ce7
17,Aitor Fernández\a01c3d54,es ESP,GK,Levante,30-284,1991,13.0,29,1,0,8,0,25.0,0.3,-4.0,-0.31,72,174,41.4,290,62,46.2,40.3,91,44.0,36.4,111,5,4.5,11,0.85,16.3,Matches,a01c3d54
18,Joan García\87b498b0,es ESP,GK,Espanyol,20-283,2001,1.0,2,0,0,0,0,1.1,0.56,-0.9,-0.89,4,7,57.1,26,8,26.9,27.3,0,,,5,2,40.0,2,2.0,19.6,Matches,87b498b0
19,Dominik Greif\30061f53,sk SVK,GK,Mallorca,24-311,1997,1.0,3,0,1,0,0,1.1,0.19,-1.9,-1.87,2,13,15.4,21,6,42.9,37.8,10,40.0,37.4,8,0,0.0,1,1.0,13.0,Matches,30061f53
20,Sergio Herrera\a4995f48,es ESP,GK,Osasuna,28-251,1993,22.0,25,2,0,5,1,23.0,0.3,-1.0,-0.05,264,542,48.7,502,37,76.9,54.6,178,87.6,61.7,250,13,5.2,25,1.14,15.8,Matches,a4995f48
21,Jeremías Ledesma\6c4776b1,ar ARG,GK,Cádiz,28-363,1993,23.0,38,7,0,9,0,38.7,0.3,0.7,0.03,201,531,37.9,463,55,73.2,54.9,219,87.7,66.4,251,23,9.2,6,0.26,12.6,Matches,6c4776b1
22,Diego López\73683fa9,es ESP,GK,Espanyol,40-100,1981,22.0,30,2,0,2,2,27.7,0.28,-0.3,-0.02,105,272,38.6,526,119,36.5,36.2,183,43.7,37.8,260,23,8.8,17,0.77,14.1,Matches,73683fa9
23,Giorgi Mamardashvili\d4b73232,ge GEO,GK,Valencia,21-135,2000,7.0,7,0,0,0,0,5.9,0.22,-1.1,-0.15,55,134,41.0,138,26,65.2,46.8,55,80.0,58.0,64,3,4.7,2,0.29,12.6,Matches,d4b73232
24,Luís Maximiano\3318286e,pt POR,GK,Granada,23-037,1999,18.8,27,0,0,5,2,29.9,0.29,3.9,0.19,143,402,35.6,489,106,54.2,43.2,191,71.7,51.6,221,16,7.2,23,1.16,15.6,Matches,3318286e
25,Neto\a9dc785c,br BRA,GK,Barcelona,32-207,1989,2.0,3,0,1,1,0,3.0,0.33,0.0,-0.01,19,36,52.8,81,11,42.0,36.2,16,12.5,28.4,21,1,4.8,2,1.0,13.9,Matches,a9dc785c
26,Jan Oblak\ee8508c0,si SVN,GK,Atlético Madrid,29-035,1993,22.0,30,3,1,3,2,18.3,0.31,-9.7,-0.44,108,291,37.1,447,93,46.1,39.4,143,59.4,46.6,147,11,7.5,8,0.36,14.0,Matches,ee8508c0
27,Jesús Owono\d6e3d7fb,gq EQG,GK,Alavés,20-347,2001,1.0,1,0,0,0,0,0.7,0.16,-0.3,-0.35,9,21,42.9,20,2,90.0,60.0,3,100.0,75.0,4,0,0.0,2,2.0,15.7,Matches,d6e3d7fb
28,Fernando Pacheco\97852360,es ESP,GK,Alavés,29-269,1992,19.9,34,1,0,5,0,29.9,0.35,-4.1,-0.21,227,420,54.0,424,41,68.6,48.6,182,70.9,50.6,214,15,7.0,19,0.95,15.2,Matches,97852360
29,Juan Pérez\8f29e08b,es ESP,GK,Osasuna,25-211,1996,1.0,2,0,0,1,0,0.9,0.23,-1.1,-1.08,3,18,16.7,19,4,68.4,46.5,5,100.0,64.2,8,1,12.5,2,2.0,16.9,Matches,8f29e08b
30,Manolo Reina\605eb473,es ESP,GK,Mallorca,36-316,1985,18.0,25,2,0,1,1,21.6,0.3,-2.4,-0.13,107,299,35.8,393,66,54.2,44.2,152,56.6,43.5,161,10,6.2,11,0.61,15.0,Matches,605eb473
31,Álex Remiro\374ee424,es ESP,GK,Real Sociedad,26-324,1995,19.0,16,2,1,1,0,16.1,0.26,0.1,0.01,132,268,49.3,501,70,40.1,35.5,123,54.5,45.6,143,15,10.5,23,1.21,16.8,Matches,374ee424
32,Sergio Rico\5f0241b2,es ESP,GK,Mallorca,28-163,1993,1.0,1,0,0,0,0,1.7,0.42,0.7,0.73,3,10,30.0,12,6,50.0,45.9,4,100.0,65.5,12,0,0.0,0,0.0,11.0,Matches,5f0241b2
33,Leonardo Román\924ff27e,es ESP,GK,Mallorca,21-220,2000,2.0,5,1,0,0,1,3.1,0.19,-0.9,-0.43,12,32,37.5,53,6,47.2,39.7,16,43.8,38.8,20,1,5.0,4,2.0,18.6,Matches,924ff27e
34,Gerónimo Rulli\625c144a,ar ARG,GK,Villarreal,29-267,1992,21.0,19,3,0,0,1,18.0,0.25,0.0,0.0,101,237,42.6,707,107,24.9,32.6,138,44.2,40.6,187,21,11.2,20,0.95,15.6,Matches,625c144a
35,Mathew Ryan\4535e4bb,au AUS,GK,Real Sociedad,29-309,1992,3.0,5,1,0,3,0,5.0,0.28,0.0,0.01,20,58,34.5,88,14,51.1,42.2,19,68.4,49.3,36,4,11.1,1,0.33,14.2,Matches,4535e4bb
36,Rui Silva\ea83bfa6,pt POR,GK,Betis,28-004,1994,14.0,15,2,0,3,0,16.4,0.31,1.4,0.1,76,189,40.2,332,62,39.5,36.3,102,56.9,46.6,122,8,6.6,11,0.79,13.9,Matches,ea83bfa6
37,Unai Simón\5dcf3e90,es ESP,GK,Athletic Club,24-245,1997,19.0,13,2,0,0,0,14.0,0.23,1.0,0.05,102,232,44.0,383,103,41.8,37.1,142,50.7,44.6,212,15,7.1,13,0.68,15.3,Matches,5dcf3e90
38,Antonio Sivera\9970da54,es ESP,GK,Alavés,25-184,1996,2.1,3,1,0,1,0,2.1,0.13,-0.9,-0.44,22,56,39.3,44,4,77.3,54.6,28,78.6,58.2,31,6,19.4,1,0.48,11.2,Matches,9970da54
39,David Soria\8f8c6934,es ESP,GK,Getafe,28-313,1993,22.9,23,2,0,4,0,21.1,0.26,-1.9,-0.08,239,557,42.9,545,48,75.4,52.4,173,84.4,58.1,210,25,11.9,22,0.96,14.7,Matches,8f8c6934
40,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,29-287,1992,20.0,22,0,0,6,0,19.8,0.34,-2.2,-0.11,117,209,56.0,648,81,25.2,29.2,129,35.7,34.5,142,10,7.0,6,0.3,12.7,Matches,6f51e382
41,Rúben Vezo\c67cd65c,pt POR,DF,Levante,27-292,1994,19.1,0,0,0,0,0,0.0,,0.0,0.0,2,4,50.0,3,0,100.0,61.7,1,100.0,64.0,2,0,0.0,0,0.0,,Matches,c67cd65c
42,Luca Zidane\c818c4d9,fr FRA,GKMF,Rayo Vallecano,23-274,1998,3.2,4,0,0,0,0,3.6,0.28,-0.4,-0.12,24,49,49.0,86,23,37.2,35.3,28,60.7,47.9,21,2,9.5,2,0.63,12.3,Matches,c818c4d9
1,Emil Audero\649b01d8,it ITA,GK,Sampdoria,25-024,1997,19.5,37,1,1,4,1,31.0,0.32,-5.0,-0.26,158,345,45.8,505,75,47.9,40.0,144,71.5,50.9,175,14,8.0,6,0.31,13.6,Matches,649b01d8
2,Vid Belec\4f8ce0e1,si SVN,GK,Salernitana,31-250,1990,20.0,45,3,0,6,2,34.9,0.27,-8.1,-0.41,143,335,42.7,373,70,56.3,44.6,168,74.4,53.5,197,10,5.1,6,0.3,12.6,Matches,4f8ce0e1
3,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,35-015,1987,23.0,39,6,0,5,1,35.1,0.36,-2.9,-0.13,173,349,49.6,787,99,37.5,34.4,151,35.8,31.5,193,13,6.7,10,0.43,12.8,Matches,8cabdc1e
4,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,27-228,1994,21.0,40,4,4,8,1,36.0,0.33,-3.0,-0.14,187,426,43.9,547,71,54.1,42.1,183,71.0,50.8,192,17,8.9,11,0.52,14.7,Matches,f554e29b
5,Bartłomiej Drągowski\085e71a7,pl POL,GK,Fiorentina,24-176,1997,4.2,6,1,0,1,0,6.5,0.29,0.5,0.11,34,70,48.6,195,15,29.7,33.1,27,44.4,43.1,20,3,15.0,9,2.15,17.9,Matches,085e71a7
6,Wladimiro Falcone\9f5a610b,it ITA,GK,Sampdoria,26-305,1995,4.5,4,0,0,0,0,7.2,0.26,3.2,0.71,30,84,35.7,119,18,45.4,38.3,38,78.9,51.2,51,2,3.9,1,0.22,12.9,Matches,9f5a610b
7,Vincenzo Fiorillo\a2565f79,it ITA,GK,Salernitana,32-029,1990,2.0,5,0,0,1,0,2.6,0.33,-2.4,-2.38,11,19,57.9,20,4,50.0,41.3,11,81.8,53.3,7,1,14.3,0,0.0,10.0,Matches,a2565f79
8,Luca Gemello\53e494ec,it ITA,GK,Torino,21-223,2000,1.0,0,0,0,0,0,0.9,0.22,0.9,0.87,11,28,39.3,31,1,80.6,51.9,3,100.0,60.7,4,0,0.0,0,0.0,12.0,Matches,53e494ec
9,Samir Handanović\74419746,si SVN,GK,Inter,37-212,1984,23.0,19,3,0,2,1,18.4,0.21,0.4,0.02,129,226,57.1,661,95,30.1,29.9,88,30.7,30.1,165,9,5.5,2,0.09,11.7,Matches,74419746
10,Luca Lezzerini\c9c32262,it ITA,GK,Venezia,26-324,1995,4.5,8,0,0,0,0,11.3,0.32,3.3,0.73,17,43,39.5,133,39,24.1,30.1,34,32.4,31.0,48,2,4.2,2,0.44,11.2,Matches,c9c32262
11,Niki Mäenpää\14a96e1c,fi FIN,GK,Venezia,37-019,1985,5.5,9,2,0,0,0,8.0,0.36,-1.0,-0.18,18,60,30.0,129,31,38.0,35.7,39,28.2,29.2,53,3,5.7,1,0.18,11.9,Matches,14a96e1c
12,Mike Maignan\fcb38f57,fr FRA,GK,Milan,26-223,1995,18.0,16,2,0,4,1,18.7,0.27,3.7,0.21,108,232,46.6,526,85,38.0,36.1,85,37.6,37.2,128,15,11.7,18,1.0,17.0,Matches,fcb38f57
13,Alex Meret\9413b19f,it ITA,GK,Napoli,24-326,1997,4.0,2,0,0,0,0,2.2,0.17,0.2,0.05,6,14,42.9,72,19,12.5,25.3,17,29.4,32.8,27,2,7.4,0,0.0,10.3,Matches,9413b19f
14,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,24-356,1997,22.0,23,4,2,2,0,20.0,0.27,-3.0,-0.13,175,558,31.4,698,76,62.8,51.1,134,89.6,70.3,121,9,7.4,11,0.5,13.8,Matches,9fa26bc2
15,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,25-356,1996,21.0,34,2,0,4,2,26.8,0.31,-5.2,-0.25,142,386,36.8,472,82,61.7,45.6,133,71.4,50.0,191,12,6.3,10,0.48,13.8,Matches,c1d95617
16,Juan Musso\a111cf41,ar ARG,GK,Atalanta,27-281,1994,20.6,25,0,0,2,1,20.5,0.29,-3.5,-0.17,115,260,44.2,473,95,32.8,34.3,142,73.9,53.6,145,11,7.6,17,0.83,15.6,Matches,a111cf41
17,David Ospina\82b1198a,co COL,GK,Napoli,33-164,1988,20.0,14,1,0,3,1,14.3,0.22,1.3,0.06,90,179,50.3,493,73,31.0,31.5,98,26.5,27.5,132,13,9.8,12,0.6,14.0,Matches,82b1198a
18,Daniele Padelli\cf1c23d8,it ITA,GK,Udinese,36-109,1985,2.0,8,0,0,0,0,5.0,0.46,-3.0,-1.48,11,35,31.4,63,9,39.7,32.3,14,71.4,50.1,19,1,5.3,1,0.5,11.8,Matches,cf1c23d8
19,Ivor Pandur\457cb02f,hr CRO,GK,Hellas Verona,21-323,2000,3.0,6,1,1,1,0,5.1,0.3,-0.9,-0.28,14,26,53.8,53,10,37.7,36.8,15,40.0,34.2,9,1,11.1,0,0.0,12.3,Matches,457cb02f
20,Rui Patrício\79b0d6a0,pt POR,GK,Roma,33-361,1988,24.0,30,3,1,3,1,27.4,0.27,-1.6,-0.07,131,272,48.2,516,97,42.2,36.8,153,35.3,34.2,178,3,1.7,12,0.5,13.2,Matches,79b0d6a0
21,Gianluca Pegolo\f058ed1f,it ITA,GK,Sassuolo,40-323,1981,1.0,3,0,0,1,0,1.9,0.39,-1.1,-1.06,6,10,60.0,26,4,30.8,31.0,8,25.0,25.6,12,0,0.0,0,0.0,12.8,Matches,f058ed1f
22,Mattia Perin\4c62d0c8,it ITA,GK,Juventus,29-093,1992,3.0,4,0,0,1,0,4.1,0.52,0.1,0.04,10,25,40.0,64,8,34.4,36.7,21,14.3,23.2,25,2,8.0,0,0.0,10.1,Matches,4c62d0c8
23,Ivan Provedel\277da414,it ITA,GK,Spezia,27-331,1994,17.0,25,5,2,2,2,21.5,0.2,-1.5,-0.09,155,383,40.5,563,73,53.5,44.3,122,67.2,49.7,161,11,6.8,12,0.71,15.8,Matches,277da414
24,Boris Radunović\0dfce079,rs SRB,GK,Cagliari,25-261,1996,3.0,5,1,1,0,0,5.9,0.31,0.9,0.3,26,69,37.7,75,11,61.3,45.1,28,82.1,54.2,29,1,3.4,1,0.33,11.9,Matches,0dfce079
25,Pepe Reina\e358587b,es ESP,GK,Lazio,39-164,1982,15.0,29,4,0,2,0,24.2,0.37,-4.8,-0.32,99,182,54.4,426,70,35.0,33.2,99,33.3,32.1,120,6,5.0,10,0.67,13.9,Matches,e358587b
26,Sergio Romero\1e26e376,ar ARG,GK,Venezia,34-354,1987,13.0,25,3,0,1,2,25.6,0.3,2.6,0.2,91,199,45.7,366,83,39.9,36.0,123,43.1,37.9,137,9,6.6,8,0.62,12.1,Matches,1e26e376
27,Francesco Rossi\7b5f516f,it ITA,GK,Atalanta,30-290,1991,0.4,1,0,0,0,0,1.0,0.5,0.0,-0.01,2,7,28.6,12,0,41.7,42.0,4,50.0,54.0,3,0,0.0,0,0.0,14.0,Matches,7b5f516f
28,Luigi Sepe\343f753a,it ITA,GK,Salernitana,30-279,1991,1.0,2,2,0,0,0,1.8,,-0.2,-0.21,6,18,33.3,23,2,56.5,45.0,9,55.6,42.7,9,0,0.0,0,0.0,13.0,Matches,343f753a
29,Marco Silvestri\0d422df7,it ITA,GK,Udinese,30-346,1991,21.0,28,3,0,5,1,24.5,0.31,-2.5,-0.13,130,315,41.3,435,51,53.3,41.8,158,52.5,42.0,149,8,5.4,3,0.15,11.4,Matches,0d422df7
30,Salvatore Sirigu\10dc46f0,it ITA,GK,Genoa,35-030,1987,24.0,45,3,3,6,2,37.1,0.29,-5.9,-0.25,193,425,45.4,689,74,48.0,38.8,162,58.0,42.0,197,9,4.6,8,0.33,13.2,Matches,10dc46f0
31,Łukasz Skorupski\ab4449d6,pl POL,GK,Bologna,30-282,1991,23.0,37,6,1,3,2,34.3,0.27,-0.7,-0.03,154,339,45.4,620,108,45.6,38.0,155,36.1,31.7,205,16,7.8,6,0.26,11.6,Matches,ab4449d6
32,Marco Sportiello\ac4003af,it ITA,GK,Atalanta,29-277,1992,2.0,2,2,0,0,0,1.8,,-0.2,-0.12,8,16,50.0,35,8,28.6,29.4,6,100.0,64.7,7,2,28.6,3,1.5,15.7,Matches,ac4003af
33,Thomas Strakosha\339fe0e8,al ALB,GK,Lazio,26-329,1995,9.0,10,1,0,1,0,9.9,0.31,-0.1,-0.01,52,97,53.6,243,39,34.2,31.2,52,26.9,26.7,82,4,4.9,2,0.22,14.1,Matches,339fe0e8
34,Wojciech Szczęsny\01b8a2b2,pl POL,GK,Juventus,31-299,1990,21.0,17,1,1,4,0,17.8,0.26,0.8,0.04,105,199,52.8,513,95,31.4,33.3,113,33.6,32.2,196,10,5.1,8,0.38,13.2,Matches,01b8a2b2
35,Ciprian Tătărușanu\b056e3da,ro ROU,GK,Milan,36-002,1986,6.0,10,2,0,1,1,9.0,0.3,0.0,-0.01,37,79,46.8,168,12,39.3,36.8,38,34.2,37.6,49,2,4.1,4,0.67,13.0,Matches,b056e3da
36,Pietro Terracciano\e1b0a70d,it ITA,GK,Fiorentina,31-340,1990,18.8,27,1,0,1,2,23.5,0.35,-1.5,-0.08,174,308,56.5,804,84,34.0,33.8,92,38.0,36.0,119,12,10.1,20,1.06,16.2,Matches,e1b0a70d
37,Guglielmo Vicario\77d6fd4d,it ITA,GK,Empoli,25-127,1996,24.0,47,3,1,4,4,44.7,0.31,1.7,0.07,106,260,40.8,639,133,28.2,31.3,178,44.9,39.7,254,25,9.8,10,0.42,13.0,Matches,77d6fd4d
38,Jeroen Zoet\cc1a0c57,nl NED,GK,Spezia,31-036,1991,7.0,19,1,0,3,0,17.5,0.39,-1.5,-0.22,29,81,35.8,181,41,32.0,33.9,54,42.6,39.4,52,3,5.8,5,0.71,13.7,Matches,cc1a0c57
